is_Located_Outside_India,is_NCR,Counts_of_Restaurants_in_the_city,Average_Votes_per_Restaurant,Restaurants_in_city...5,Restaurants_in_city....25,Avg..daily.orders,Average_Cost_for_Two,Has_Table,Has_Online_Orders,Percentage.online.orders,Desserts,Café.Flag,is_Eco,is_Mid,is_High,Alcohol,Continental,Oriental,Oceanic,Asian,American,Café.Pub,Fast.Food,Desserts...Beverages,Latin.American,Arabic,International,Indian,Mediterranean,Health.Conscious,European,Votes_Value,isBad
1,0,0.000182749,0.141952984,1,0,0.88,0.0004092,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.028717761,FALSE
1,0,0.000548246,0.061030741,1,0,0.12,0.001488,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.022635815,FALSE
1,0,0.000548246,0.082504521,1,0,0.68,0.000558,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034077571,FALSE
1,0,0.000548246,0.05176311,1,0,0.88,0.000558,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020943845,FALSE
1,0,0.000548246,0.075949367,1,0,0.44,0.000372,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028169014,FALSE
1,0,0.000365497,0.156720916,1,0,0.8,0.000744,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.03963173,FALSE
1,0,0.000365497,0.204038577,1,0,0.24,0.000744,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.054177337,FALSE
1,0,0.000365497,0.18716094,1,0,0.52,0.002232,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.057978553,FALSE
1,0,0.000365497,0.160337553,1,0,0.4,0.0004092,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04865557,FALSE
1,0,0.000365497,0.322483424,1,0,0.4,0.0002976,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.099898634,FALSE
1,0,0,0.265822785,1,0,0.32,0.0002976,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.026888604,FALSE
1,0,0.000182749,0.207052441,1,0,0.08,0.000372,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036651729,FALSE
1,0,0.000182749,0.013110307,1,0,0.4,0.0002976,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.001989208,TRUE
1,0,0.000182749,0.032549729,1,0,0.88,0.0003162,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00548747,TRUE
1,0,0,0.190777577,1,0,0.4,0.0004464,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018091504,FALSE
1,0,0.000548246,0.026672694,1,0,0.6,0.0002232,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.010117523,TRUE
1,0,0.000548246,0.088607595,1,0,0.6,0.000558,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.03286385,FALSE
1,0,0.000548246,0.120931284,1,0,0.88,0.001116,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0.047910569,FALSE
1,0,0.000548246,0.139692586,1,0,0.4,0.0006696,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.052988385,FALSE
1,0,0.003472222,0.000271248,0,1,0.36,0.0000572,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000342967,TRUE
1,0,0.003472222,0.000406872,0,1,0.8,0.0000312,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000651637,TRUE
1,0,0.003472222,0.000497288,0,1,0.44,0.0000624,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000796445,TRUE
